url,route_id,scraped_timestamp,name,location,sector,nearest_city,elevation,first_ascent_year,first_ascensionists,latitude,longitude,access_type,mountain_characteristics,nearby_excursions,description,avalanche_info,has_avalanche_info,is_alta_montana,has_glacier,is_volcano,avalanche_priority
https://www.andeshandbook.org/montanismo/cerro/3481/xxx,3481,2025-07-20T22:56:33.683486,Pico Ansilta Ndeg6 o Laprida (5187m) - Andeshandbook,"Argentina, Provincia de San Juan",Cordillera Ansilta,San Juan,5187.0,null,F. y R. Portillo,"-31deg 43' 16.4""","-69deg 53' 22.9""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/3486/xxx,3486,2025-07-20T22:56:33.711109,Pico Ansilta Ndeg5 o Costin (5333m) - Andeshandbook,"Argentina, Provincia de San Juan",Cordillera de Ansilta,San Juan,5333.0,null,"E. and E. Altrichter, A. Beorchia, O. Kummel","-31deg 41' 30.9""","-69deg 53' 22.4""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/3485/xxx,3485,2025-07-20T22:56:33.747670,Pico Ansilta Ndeg4 o Fidel Diaz (5116m) - Andeshandbook,"Argentina, Provincia de San Juan",Cordillera de Ansilta,San Juan,5116.0,null,"A. Costin, V. Mas, E. Yacante","-31deg 40' 46.1""","-69deg 52' 50.9""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/3482/xxx,3482,2025-07-20T22:56:33.813798,Pico Ansilta Ndeg2 (5887m) - Andeshandbook,"Argentina, Provincia de San Juan",Cordillera de Ansilta,San Juan,5887.0,null,"Erico Groch (DE), Elsa Groch (AR) y Alfredo Zimmermann (AR)","-31deg 37' 33.3""","-69deg 52' 35.5""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/3490/xxx,3490,2025-07-20T22:56:33.825030,Volcan Tatio (5198m) - Andeshandbook,"Chile, Region de Antofagasta",Tocorpuri,San Pedro de Atacama,5198.0,null,Se desconoce,"-22deg 25' 56.6"" (WGS 84)","-68deg 0' 53.8""",No especificado,"Volcán, Alta Montaña, Área protegida","Normal, Cerro Soquete, Cerro Soquete, Volcan Tocorpuri","Presentacion El volcan Tatio es un volcan inactivo ubicado en el sector de Tocorpuri, a pocos kilometros de los geiseres del Tatio. Este volcan es facil de reconocer puesto a que a su costado este se encuentra el cerro La Torta (domo de lava riolitico) el cual corresponde a antiguas erupciones del complejo volcanico Tocorpuri. Por su facilidad de acceso y ascenso, se ha hecho popular en los ultimos anos en donde cada vez es mas visitado por turistas y montanistas. Este volcan se ubica a 70km del poblado de San Pedro de Atacama y se accede por la ruta B-245, camino al complejo geotermico del Tatio. Su nombre proviene de la cercania a este campo geotermico y la palabra Tatio (del kunza Tata-iu ) significa ""el abuelo que llora"". La ruta de ascenso normal se realiza por la cara este. Comienza a los 4220m y tomas cerca de 2 1/2h alcanzar la cumbre.",,false,true,false,true,false
https://www.andeshandbook.org/montanismo/cerro/3484/xxx,3484,2025-07-20T22:56:33.888566,Pico Ansilta Ndeg3 o Francisco Ibanez o Aguja (5521m) - Andeshandbook,"Argentina, Provincia de San Juan",Cordillera de Ansilta,San Juan,5521.0,null,"A. Costin, Y. Mas, E. Yacante","-31deg 39' 28.5""","-69deg 51' 58.9""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/3488/xxx,3488,2025-07-20T22:56:33.959903,Morro La Chancha (2190m) - Andeshandbook,"Chile, Region Metropolitana",El Toyo,San Jose de Maipo,2190.0,null,Sin informacion,"-33deg 43' 12.8""","-70deg 23' 11.2""",No especificado,Área protegida,,"Presentacion Las cumbres que se alzan en el sector de El Toyo en el Cajon del Maipo han ido recibiendo cada vez mas visitas por parte de los montanistas, ellas ofrecen en general la posibilidad de ser ascendidas por el dia o bien en modo de travesia. Las principales se alzan sobre los 2000m, destacandose el Morro Buitrero , San Roque , Cruzada de Las Hormigas , Loma del Diablo , entre otras. En ese grupo se encuentra el Morro La Chancha, la que si bien posee poca prominencia y podria ser considerada una estribacion de la Loma del Diablo , aparece identificada con sus 2190m en la carta IGM de San Jose de Maipo. Esta cumbre con su redondeada forma, resalta sobre el lado sur de la quebrada del Maiten, la que a esa altura cae abruptamente, con su cascada, en direccion al estero Coyanco. Ubicada al suroeste del Morro Buitrero , es posible acceder a ella a traves del filo que lleva desde este cerro al San Roque , tomando el desvio que desciende a la quebrada del Maiten y tras atravesar sus esteros, arribar a las laderas que llevan a su cumbre. El Morro La Chancha se encuentra justo al este de la Loma del Diablo y ademas separa las quebradas del Maiten con la de La invernada, que tambien es afluente del estero Coyanco. En definitiva es una buena alternativa de salida por el dia, a un sector poco visitado y el que ofrece otras cumbres con la que se puede complementar su ascension. Se desconoce el origen del nombre y la informacion sobre los primeros ascensionistas, sin embargo, al igual que los demas cerros de la zona, es muy probable que corresponda a arrieros que desde antano recorren estas montanas.",,false,false,false,false,false
https://www.andeshandbook.org/montanismo/cerro/3483/xxx,3483,2025-07-20T22:56:33.976882,Pico Ansilta Ndeg1 o Jose Mazuelo (5413m) - Andeshandbook,"Argentina, Provincia de San Juan",Cordillera de Ansilta,San Juan,5413.0,null,"J. Bocci, A. Bofinger, P. Castro, S. Fernandez, Erico Groch (DE), Elsa Groch (AR) y J. Molina","-31deg 34' 53.9""","-69deg 52' 54.5""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/3489/xxx,3489,2025-07-20T22:56:34.008202,Morro Blanco (1745m) - Andeshandbook,"Chile, Region de Valparaiso",Ciudad mas cercana: Calle Larga,Calle Larga,1745.0,null,desconocido,"-32deg 55' 10.2"" (WGS 84)","-70deg 38' 59.3""",No especificado,Área protegida,,"Presentacion El Morro blanco se ubica justo al norte del cerro Algarrobo en el mismo filo montanoso que divide a las comunas de Calle Larga y Rinconada, en la Provincia de Los Andes. Esta bella arista, contiene de norte a sur las cumbres de los cerros el Castillo, Tres Negras, Morro Blanco, Algarrobo y Guanaco. Su vista ofrece panoramicas hacia todo el Valle del Aconcagua por el norte y hacia el sur el sector de Chacabuco, Region Metropolitana. Si bien, la altitud maxima del cordon esta dada por el Cerro Algarrobo con sus 1945m, el Morro Blanco con sus 1745 msnm presenta una prominencia 111m que le brindan un atractivo sitial en la arista. Se desconocen los primeros ascensionistas, pero presumiblemente fueron arrieros o incluso quizas hubo ascensos precolombinos al lugar, debido a que en la poblacion El Castillo, en las faldas del cerro, existio un sitio administrativo Incaico. Referencia Coros C., Carlos (1999). El Qhapac Nan en la Cordillera de Aconcagua . Museo Arqueologico de Los Andes.",,false,false,false,false,false
https://www.andeshandbook.org/montanismo/cerro/3491/xxx,3491,2025-07-20T22:56:34.062588,Cerro P2677 (2677m) - Andeshandbook,"Chile, Region del Maule",Laguna del Maule,Talca,2677.0,null,Desconocidos,"-35deg 58' 35.1"" (WGS 84)","-70deg 30' 25.1""",No especificado,"Volcán, Área protegida","Cerro Colorado (Laguna del Maule), Monjes Blancos, Valle de los Condores, Cascada Invertida y Otras Cascadas del Maule, Banos del Campanario","Presentacion Unos pocos kilometros al poniente del paso internacional Pehuenche, que separa la Provincia de Mendoza en Argentina de la Region del Maule en Chile, se emplaza el valle de los Condores que, gracias a un gran farellon de basalto y otras formaciones de roca volcanica, se ha convertido en uno de los principales sectores de escalada deportiva en Chile. Justo al nororiente de ese valle se desarrollan dos quebradas que tributan sus aguas al rio Maule a traves de los esteros Bobadilla Grande y Bobadilla Chico, los que resultan separados por un breve cordon montanoso orientado de surponiente a nororiente y coronado por dos cumbres, la mas occidental de las cuales corresponde a la P2677. Se trata de una estilizada montana rematada por un torreon rocoso que hacia el este se precipita en forma casi vertical hacia el estero Bobadilla Chico, pero que por el surponiente ofrece una via empinada pero sencilla hasta su cumbre, la que se puede intentar desde cualquiera de los dos esteros que flanquean el cerro. En epocas secas la caida de material puede complicar el ascenso a traves de sus escarpadas cotas superiores, por lo que resulta conveniente intentarlo cuando ellas aun estan cubiertas de nieve. La cercania del cerro al camino internacional, desde el que es claramente visible, lo convierte en un objetivo evidente para cualquiera que visite el valle de los Condores o la cercana laguna del Maule. Su cumbre premia con unicas vistas al esquivo volcan Campanario y a los poco explorados Colmillos del Maule , ambos emplazados hacia el nororiente del cerro. No se tiene informacion sobre cuando se habria realizado su primer ascenso ni sobre el nombre que se le ha dado al cerro, antecedentes que los montanistas del Maule tal vez podrian aportar.",,false,false,false,true,false
